X X X XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX  XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
0 1 1 11000001110110000000010001011011 11000001101001001011110110110000
0 1 1 11000000011000110110000110000101 01000001101000111100111001110011
0 1 1 11000000110110111101001111010111 01000000111000101000100011001001
0 1 1 01000001011101100110011001001011 11000001000010100101000011110010
0 1 1 01000001100010001111100100000110 00111111010001001011101010101011
0 1 1 11000001100100010100101010000110 11000000101101100011111010001010
0 1 1 10111111000101111111101001101111 11000001110001001100000001011111
0 1 1 11000000010010011111101111101001 11000001011100010101101110011001
0 1 1 01000001000001111100011101001010 11000001101011101100011110101111
0 1 1 01000001010000100100101001100010 11000001100100101010101010110011
0 1 1 01000001011011000101100101101000 11000001011100010101001011110101
0 1 1 11000001010011111101100101000110 11000000100110011000110101100101
0 1 1 01000001001001101100001110011011 11000001110100001111010111011001
0 1 1 01000001000011111110111001010011 01000001101110101101110000111011
0 1 1 11000001100111001000110001010100 01000001110011100110000110011010
0 1 1 11000001101100001100100011111011 10111111000001111010011001100011
0 1 1 10111101110000100101001100001111 10111111000111111001001110101011
0 1 1 01000001110101010101001000111010 11000001000101101001100010101101
0 1 1 11000001000101000001111100111110 01000001101110011001111111111111
0 1 1 01000000100111100100000111000111 11000000111100101010110110010000
0 1 1 11000001100000000010011010111001 11000001101101000110011011100100
0 1 1 01000001011010010010110100000011 01000001100000100000100101110110
0 1 1 11000001011000110100010110010000 11000000110011001010010100001100
0 1 1 00111110101100001110011010001110 11000001011011111011010111100010
0 1 1 01000001001110001011111001000010 11000000101100100101011011001100
0 1 1 01000001101101010110000100001101 11000001101110110011111010111111
0 1 1 01000001110101010001110001111001 11000001101010101100001110101111
0 1 1 01000000001011110100001110011001 01000001110011010001110010001010
0 1 1 11000001101001111010110110100010 01000001110100111010010101111100
0 1 1 11000001101000101011101001000011 01000000100010111001011001010000
0 1 1 11000001011000010000100001000111 11000001110011000100001100100110
0 1 1 01000001100111100001011111000010 11000001011101100001111111001110
0 1 1 11000001011001000000011010110001 11000001000010000100010011010011
0 1 1 01000001100100011101010000000010 01000001100101010000100010110110
0 1 1 11000001011011100000001001000011 11000001111000001101101001010001
0 1 1 01000001110001110010110110100110 11000001110101000000100101110110
0 1 1 11000001000010110011011100001111 11000001100110011001011010110000
0 1 1 11000001100011001100011110100001 01000001000010100110000100010001
0 1 1 11000001011001101111111010000011 01000001010101110000100111010011
0 1 1 01000000110101110110000100000001 01000001000010010001101110110111
0 1 1 10111111110001100100110110111000 11000000001101100010101111010100
0 1 1 11000001000010011010100011110100 01000000001011100111111100111100
0 1 1 01000001100110011000000100100110 11000001001111010000001110101001
0 1 1 01000000100111100100000000001010 01000001011000110001001100101110
0 1 1 01000000001110001001001011110100 11000001100100000101001100101011
0 1 1 01000001110000011001001111101111 01000001001011010101001111011110
0 1 1 11000001010001101011110111001100 11000001100100101101100111010000
0 1 1 01000001011011101010111010001011 11000000111101000001011110110100
0 1 1 01000001011010110111010111101010 01000000111010010010010111100111
0 1 1 11000000110111011110010001111011 01000001100000100000011010001001
0 1 1 01000000011110111100000100000010 11000001110000100101101110001111
0 1 1 11000001110001001100110110111001 01000001110001110011110000101111
0 1 1 11000001110011101111011110010111 01000001011111111101110010000010
0 1 1 00111111111001001010010000011011 10111111010001000001111000101011
0 1 1 01000001100000011000100010011010 11000000011011100001011111001010
0 1 1 01000001110010010110000110000110 11000000010001011000100111101010
0 1 1 11000001101010111011100100111001 11000001001100111011010100101011
0 1 1 01000000011111110111100100110011 00111110111111001010110001001100
0 1 1 10111111111000110011111001101111 00111111000111111110111110101010
0 1 1 11000001111000100111101000111001 01000001100100110110000100010111
0 1 1 11000001000101110010011001110011 01000001100010001100110101000001
.
